Controller,Type,Sets,Mode,#TAKE CARE: most keywords are case sensitive
UA,Fixed,ProgramUp,Switch,# Not needed when standard Program up button present
UA,Fixed,ProgramDown,Switch,# Not needed when standard Program down button present
UA,Fixed,PitchWheel,Continuous,# Not needed when standard pitchwheel present
UA,Fixed,PitchSens,Continuous,
UA,Fixed,ModWheel,Continuous,
UA,Fixed,Volume,Continuous,
UA,Fixed,Sustain,Switch,"# Pedal: Sustain. Pedal functions are complex to mix, so preferably use only one"
UA,Fixed,Damp,Switch,# Pedal: Damp all (conventional damp)
UA,Fixed,DampNew,Switch,"# Pedal: Damp only new notes,  a kind of pizzicato effect"
UA,Fixed,DampLast,Switch,# Pedal: Notes played during pedal press are damped on pedal release
UA,Fixed,Rotate,Toggle,
UA,Fixed,Vibrato,Toggle,
UA,Fixed,Tremolo,Toggle,
UA,Fixed,Panning,Toggle,
UA,Fixed,LFOspeed,Continuous,
UA,Fixed,VibrDepth,Continuous,
UA,Fixed,VibrSpeed,Continuous,#Can be set with LFOspeed
UA,Fixed,TremDepth,Continuous,
UA,Fixed,TremSpeed,Continuous,#Can be set with LFOspeed
UA,Fixed,PanSpeed,Continuous,
UA,Fixed,PanWidth,Continuous,#Can be set with LFOspeed
UA,Fixed,Chorus,Toggle,
UA,Fixed,ChorusDepth,Continuous,
UA,Fixed,ChorusGain,Continuous,
UA,Fixed,EnvelopeWah,Toggle,
UA,Fixed,LFOwah,Toggle,
UA,Fixed,Reverb,Toggle,
UA,Fixed,ReverbLvl,Continuous,
UA,Fixed,ReverbRoom,Continuous,
UA,Fixed,ReverbDamp,Continuous,
UA,Fixed,ReverbWidth,Continuous,
UA,Fixed,ManualWah,Toggle,# Usually a pedal
UA,Fixed,WahLvl,Continuous,# Wet/dry mix
UA,Fixed,WahMin,Continuous,
UA,Fixed,WahMax,Continuous,
UA,Fixed,WahQ,Continuous,
UA,Fixed,WahAttack,Continuous,
UA,Fixed,WahRelease,Continuous,
UA,Fixed,WahSpeed,Continuous,
UA,Fixed,WahLvlRange,Continuous,
UA,Fixed,WahPedal,Continuous,
UA,Fixed,Echo,Toggle,
UA,Fixed,Flanger,Toggle,
UA,Fixed,DelayFeedbackVol,Continuous,
UA,Fixed,DelayWet,Continuous,
UA,Fixed,DelayDry,Continuous,
UA,Fixed,DelayTime,Continuous,
UA,Fixed,DelaySteep,Continuous,
UA,Fixed,DelaySteplen,Continuous,
UA,Fixed,DelayMin,Continuous,
UA,Fixed,DelayMax,Continuous,
UA,Fixed,Moog,Toggle,
UA,Fixed,MoogLvl,Continuous,
UA,Fixed,MoogResonance,Continuous,
UA,Fixed,MoogCutoff,Continuous,
UA,Fixed,MoogDrive,Continuous,
UA,Fixed,MoogGain,Continuous,
UA,Fixed,Arpeggiator,Toggle,
UA,Fixed,ArpUp,SwitchOn,#Can be set with ArpUpDown
UA,Fixed,ArpDown,SwitchOn,#Can be set with ArpUpDown
UA,Fixed,ArpRandom,SwitchOn,#Can be set with ArpRndLin
UA,Fixed,ArpUpDown,Toggle,
UA,Fixed,ArpRndLin,Toggle,
UA,Fixed,ArpTime,Continuous,
UA,Fixed,ArpFadeout,Continuous,#127 means no fade out =  repeat till toggled/set off
UA,Fixed,ArpSustain,Continuous,
UA,Fixed,EffectsOff,SwitchOff,
UA,Fixed,Panic,SwitchOff,
UA,Fixed,AutoChordOff,SwitchOff,
UA,Scales,C,SwitchOn,# Scale has to defined in scales.csv
UA,Chords,Min,SwitchOn,# Chord has to be defined in chords.csv
UA,Voices,1,SwitchOn,"# Voice > 0, voice# should be assigned to a sample pattern"
UA,BackTracks,1,Toggle,"# Value > 0, track# should be assigned to a sample"
UA,Notemaps,0,SwitchOn,"# Value=0 means no mapping (1 to 1), numbers are in read sequence"
